464,Minnesota State University - Mankato
465,Metropolitan State University
466,University of Minnesota - Twin Cities
467,University of Minnesota - Crookston
468,University of Minnesota - Duluth
469,University of Minnesota - Morris
470,Minnesota State University - Moorhead
471,Northwestern Health Sciences University
472,College of Saint Benedict
473,Saint Cloud State University
474,Saint John's University (MN)
475,Saint Mary's University of Minnesota
476,St. Olaf College
477,College of Saint Scholastica
478,University of St. Thomas (MN)
479,St. Catherine University (MN)
480,Southwest Minnesota State University
481,Winona State University
482,Alcorn State University
483,Delta State University
484,Jackson State University
485,Millsaps College
486,University of Mississippi - Oxford
487,University of Mississippi Medical Center
488,Mississippi University for Women
489,Mississippi Valley State University
490,Mississippi College
491,Mississippi State University
492,Rust College
493,University of Southern Mississippi
494,Tougaloo College
495,William Carey University
496,University of Central Missouri
497,Forest Institute of Professional Psychology
498,Barnes-Jewish College Goldfarb School of Nursing
499,A.T. Still University of Health Sciences
500,Lincoln University (MO)
501,Logan University
502,Missouri Western State University
503,University of Missouri - Columbia
504,University of Missouri - Kansas City
505,Missouri University of Science and Technology
506,University of Missouri - St. Louis
507,University of Missouri - System Office
508,Truman State University
509,Northwest Missouri State University
510,Saint Louis University - St. Louis
511,Saint Louis Community College (Multiple campuses)
512,Southeast Missouri State University
513,Missouri State University - Springfield
514,Tarkio College
515,Kansas City University of Medicine and Biosciences
516,Washington University in St. Louis
517,Montana State University - Billings
518,Montana Technological University
519,Montana State University - Bozeman
520,University of Montana - Missoula
521,Montana State University - Northern
522,Salish Kootenai College
523,University of Montana - Western
524,Creighton University
525,Dana College
526,Doane University - Arts & Sciences
527,University of Nebraska - Kearney
528,University of Nebraska - Omaha
529,University of Nebraska Medical Center
530,Nebraska Wesleyan University
531,University of Nebraska - Lincoln
532,Peru State College
533,University of Nebraska - Central Admin System Office
534,College of Southern Nevada
535,University of Nevada - Las Vegas
536,University of Nevada - Reno
537,Colby-Sawyer College
538,Dartmouth College
539,University of New Hampshire - Durham
540,Keene State College
541,Plymouth State University
542,Camden County College
543,Drew University
544,Fairleigh Dickinson University
545,Rowan University
546,New Jersey City University
547,Kean University
548,Monmouth University
549,Montclair State University
550,New Jersey Institute of Technology
551,Princeton University
552,Ramapo College of New Jersey
553,Rider University
554,Rutgers University - Camden
555,Rutgers University - New Brunswick
556,Rutgers University - Newark
557,Seton Hall University
558,Stevens Institute of Technology
559,Stockton University
560,College of New Jersey
561,University of Medicine & Dentistry of New Jersey
562,William Paterson University of New Jersey
563,Eastern New Mexico University - Portales
564,New Mexico Highlands University
565,New Mexico Institute of Mining and Technology
566,University of New Mexico - Albuquerque
567,New Mexico State University - Las Cruces
568,Northern New Mexico College
569,Western New Mexico University
570,Adelphi University
571,Albany College of Pharmacy and Health Sciences
572,Albany Medical College
573,Alfred University
574,Bank Street College of Education
575,Bard College (NY)
576,Barnard College
577,Canisius College
578,City University of NY - System Office
579,Clarkson University
580,Colgate University
581,Columbia University
582,Cooper Union for the Advancement of Science & Art
583,Cornell University
584,Weill Cornell Medical College
585,City University of NY - Bernard M. Baruch College
586,City University of NY - Brooklyn College
587,City University of NY - College of Staten Island
588,City University of NY - City College
589,City University of NY - Graduate Schl and Univ Ctr
590,City University of NY - Hunter College
